panelist,week_number,treatment_group,cohort_period,prop_expenditure_fruit_vegetables
1,1,1,30,29.7804095731557
1,3,1,30,27.7457222443295
1,4,1,30,31.4948221521837
1,5,1,30,14.3278233730205
1,6,1,30,18.5698379314611
1,7,1,30,27.7457222443295
1,8,1,30,9.2678405931418
1,9,1,30,26.0458669354839
1,10,1,30,17.8066795118818
1,11,1,30,24.9253925003244
1,12,1,30,31.4948221521837
1,13,1,30,4.39306358381503
1,14,1,30,23.4595769584483
1,15,1,30,24.4344773790952
1,16,1,30,2.70694389956846
1,17,1,30,17.8066795118818
1,18,1,30,23.959802538787
1,19,1,30,4.49604743083004
1,20,1,30,13.1305044035228
1,21,1,30,23.7339449541284
1,22,1,30,18.8945629318114
1,23,1,30,23.959802538787
1,24,1,30,23.7339449541284
1,25,1,30,26.5303497942387
1,26,1,30,18.8945629318114
1,27,1,30,32.6150356448477
1,28,1,30,34.3113284433578
1,29,1,30,32.6150356448477
1,30,1,30,9.51988550114933
1,31,1,30,11.3103059883612
1,32,1,30,34.3113284433578
1,33,1,30,26.5303497942387
1,34,1,30,11.3103059883612
1,36,1,30,9.55344707520891
1,37,1,30,15.9210526315789
1,38,1,30,20.1949761616737
1,39,1,30,32.7242943548387
1,40,1,30,17.8720768158588
1,41,1,30,17.8720768158588
1,42,1,30,8.17031070195627
1,43,1,30,22.2511485451761
1,44,1,30,13.0230442692541
1,45,1,30,13.0230442692541
1,46,1,30,23.5361947469571
1,47,1,30,24.5118191161357
1,48,1,30,13.6986301369863
1,50,1,30,13.6986301369863
1,51,1,30,9.33881523745595
1,52,1,30,9.33881523745595
3,1,0,0,9.27007299270073
3,2,0,0,17.8227360308285
3,3,0,0,5.80304806565064
3,4,0,0,3.84389671361502
3,5,0,0,6.91713649500166
3,6,0,0,12.6440266828381
3,7,0,0,7.64027059291683
3,8,0,0,32.3153409090909
3,9,0,0,0
3,10,0,0,10.8510252222827
3,11,0,0,6.43564356435644
3,12,0,0,5.47345374931582
3,13,0,0,0
3,14,0,0,0
3,15,0,0,5.47345374931582
3,16,0,0,10.7049382074082
3,17,0,0,0
3,18,0,0,18.8999172870141
3,19,0,0,4.70806614917314
3,20,0,0,4.28265524625268
3,21,0,0,12.2832369942197
3,22,0,0,9.37416895665278
3,23,0,0,12.4786324786325
3,24,0,0,14.3700206550605
3,25,0,0,11.4102171918018
3,26,0,0,29.8032726604155
3,27,0,0,12.8222523744912
