panelist,week_number,treatment_group,cohort_period,prop_expenditure_vegetables
1,3,0,0,28.8486416558862
1,4,0,0,0
1,5,0,0,14.0350877192982
1,6,0,0,11.6017120973192
1,7,0,0,19.1249436175011
1,8,0,0,8.02841043523305
1,9,0,0,0
1,10,0,0,37.2511485451761
1,11,0,0,33.0055074744296
1,12,0,0,23.989033584647
1,13,0,0,0
1,14,0,0,0
1,15,0,0,59.5124074880279
1,16,0,0,0
1,17,0,0,40.1690873618036
1,18,0,0,11.3821138211382
1,19,0,0,0
1,20,0,0,13.029702970297
1,21,0,0,26.9543041410335
1,22,0,0,18.5008923259964
1,23,0,0,14.4329896907216
1,24,0,0,5.5
1,25,0,0,13.029702970297
1,26,0,0,14.4329896907216
1,27,0,0,5.5
1,29,0,0,20.0321156162184
1,30,0,0,4.29501084598699
1,35,0,0,4.9480455220188
1,37,0,0,0
1,38,0,0,17.7976190476191
1,39,0,0,0
1,42,0,0,0
1,44,0,0,0
1,45,0,0,0
1,49,0,0,0
1,51,0,0,0
1,52,0,0,73.2673267326733
2,1,0,0,2.33481204763017
2,2,0,0,0
2,3,0,0,4.81702763256161
2,4,0,0,10.354965440086
2,5,0,0,3.58233823937795
2,6,0,0,0
2,7,0,0,14.1255358909531
2,8,0,0,0
2,9,0,0,0
2,10,0,0,3.19160329870408
2,11,0,0,0
2,12,0,0,14.1255358909531
2,13,0,0,0
2,14,0,0,1.92307692307692
2,15,0,0,12.0507399577167
2,16,0,0,12.2529644268775
2,17,0,0,0
2,18,0,0,4.57456541628545
2,19,0,0,1.92307692307692
2,20,0,0,5.01345895020188
2,21,0,0,40.512223515716
2,22,0,0,4.57456541628545
2,23,0,0,3.78896882494005
2,24,0,0,10.6253794778385
2,25,0,0,65.7342657342657
2,26,0,0,0
2,27,0,0,4.05382388008857
2,28,0,0,15.6285336531832
2,29,0,0,0
2,30,0,0,7.85417741506466
2,31,0,0,0
2,32,0,0,1.74185681936945
2,33,0,0,15.6285336531832
2,34,0,0,4.05382388008857
2,35,0,0,1.78348492955235
2,36,0,0,7.85417741506466
2,40,0,0,0
2,41,0,0,28.6330694648077
2,42,0,0,28.6330694648077
2,43,0,0,16.2763466042155
2,44,0,0,0
2,45,0,0,0
2,46,0,0,10.2109300095877
2,47,0,0,3.02883840824875
2,48,0,0,20.5468102734051
2,49,0,0,0
2,51,0,0,0
2,52,0,0,10.2109300095877
3,1,0,0,0
3,2,0,0,1.64992826398852
3,3,0,0,1.60970399755874
3,4,0,0,3.02126072361059
3,5,0,0,1.62131704745806
3,6,0,0,0
3,7,0,0,1.30588785227797
3,8,0,0,0
3,9,0,0,1.24353884186081
3,10,0,0,2.26548078536667
3,11,0,0,0
3,12,0,0,0
3,13,0,0,3.21705207214338
3,14,0,0,3.29996606718697
3,15,0,0,0.898212638505069
3,16,0,0,0.54783950617284
3,17,0,0,1.787267694741
3,18,0,0,4.08180162278523
3,19,0,0,4.7593322889093
3,20,0,0,1.48841876411071
3,21,0,0,7.833909210056
3,22,0,0,4.15399081807622
3,23,0,0,9.82430542890145
3,24,0,0,6.49259448416752
3,25,0,0,7.34422992540588
3,26,0,0,6.6365650025558
3,27,0,0,4.75431460921183
3,28,0,0,3.69696528636926
3,29,0,0,4.99748869914616
3,30,0,0,0.984584783689707
3,31,0,0,8.09639698462634
3,32,0,0,7.76568788194962
3,33,0,0,10.3881856540084
3,34,0,0,4.33992985971944
3,35,0,0,2.21852868911692
3,36,0,0,5.49210736888048
3,37,0,0,1.02825648829844
3,38,0,0,8.24379232505643
3,39,0,0,4.43613795049016
3,40,0,0,3.67072389493914
3,41,0,0,2.78422273781903
3,42,0,0,4.31198478123018
3,43,0,0,4.60343871325569
3,44,0,0,3.52111307592157
3,45,0,0,5.73756860136371
3,46,0,0,13.235745726277
3,47,0,0,4.58970792767733
3,48,0,0,5.73598945818154
3,49,0,0,2.31002071053051
3,50,0,0,2.23317865429234
3,51,0,0,7.99748330944808
3,52,0,0,7.01290109163083
3,53,0,0,7.49024707412224
4,11,0,0,68.8412852969815
4,12,0,0,18.8539087371772
4,13,0,0,0
4,14,0,0,13.5922330097087
4,15,0,0,15.493726132024
4,16,0,0,13.5922330097087
